Name,Ingredients,Garnish,Preparation
flor de amaras,"1.5 oz mezcal, 1 oz hibiscus simple syrup*, .5 oz lime juice,  top soda water",marigold petals,"*hibiscus simple syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min"
the happy place,"2 oz junipero gin, .75 oz house-made cranberry syrup*, .5 oz lemon juice, .5 oz cranberry juice, .25 oz lillet blanc, 4 dash forgery earth day bitters,  mist laphroaig","dehydrated lemon wheel, sprig of rosemary","*house-made cranberry syrup:
-- 2 cups fresh cranberries
-- 1 cup sugar
-- 1 cup water
-- 2 bay leaves
-- .25 cup pink peppercorns
-- half serrano chile
-- 4 sprigs fresh rosemary

add all ingredients to a pot and heat thoroughly. simmer on low until cranberries cook down for 25 minutes. strain and let cool."
bon voyage pisco punch,"1500 ml barsol selecto italia pisco, 750 ml lemon juice, 750 ml pineapple gomme syrup*, .5 oz fee bros lemon bitters, 1 float old vine zin",,"*pineapple gomme:
mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. a few hours would work also if you don't have that much time. however, the more time, the more pineapple infusion takes place. when it's ready, strain into another mason jar or bottle, and it's ready to go."
still life of a pineapple,"1.5 oz barsol primero quebranta pisco, .75 oz dry vermouth, .5 oz st. germain, .25 oz pineapple syrup*, 1 bsp vieux pontarlier absinthe francaise superieure",,"*pineapple syrup:
<em>equal parts pineapple blended with water and sugar and strained</em>"
the bittered valley,"1.25 oz luxardo maraschino liqueur, 4 drops acid phosphate, 2 oz barsol primero quebranta pisco, .75 oz luxardo amaro abano, .25 oz luxardo fernet, 3 dash scrappy's aromatic bitters",,"1st glass ingredients:
luxardo maraschino, acid phosphate

2nd glass ingredients:
barsol quebranta pisco, luxardo amaro abano, luxardo fernet, scrappy's aromatic bitters"
oh snap!,"1 oz junipero gin, 1 oz house-made simple syrup*, 1 oz manzanilla sherry, .75 oz lemon juice, 2 dash absinthe, 6-8  sugar snap peas,  top tonic",,"add 6-8 sugar snap peas to cocktail shaker. lightly muddle the peas. add all other ingredients except for the tonic. shake and double strain into a collins glass. top with tonic.

*house-made simple syrup:
-- 1 cup sugar
-- 1 cup water

add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. remove from heat, let cool to room temperature and transfer to a clean glass jar. cover and keep refrigerated for up to 2 weeks."
wabash avenue sour,"2 oz bourbon, 1 oz fresh lemon juice, .5 oz luxardo sangue morlacco cherry liqueur, .5 oz small hand foods pineapple gum syrup, .5 oz egg white",rhubarb bitters,"add all ingredients and dry-shake (without ice), then add ice, and shake again. strain into coupe and garnish with rhubarb bitters."
ipa mule,"1.5 oz hophead vodka, .5 oz ginger liqueur, .75 oz lime juice, .5 oz pure cane simple syrup, 2 count deschutes fresh squeezed ipa (from tap)",mint,"add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. add beer in shaker tin then double strain into tin cup. add mint for garish."
ritz cocktail,".75 oz cognac, .5 oz cointreau, .25 oz luxardo maraschino liqueur, .25 oz fresh lemon juice, 3 oz champagne",orange peel,"add all ingredients except the champagne to a mixing glass and fill with ice. stir, and strain into a martini glass. fill with champagne and garnish with a flamed orange peel."
king's snap the chocolate out of you,"1 oz king's ginger liqueur, 1.5 oz homemade milk chocolate, .75 oz hazelnut cinnamon syrup,  oz marshmallow whip cream,  oz ginger snaps",ginger snap crumbles,add all ingredients except the whip cream and ginger snap. shake and double into a rocks glass with no ice. top with marshmallow whip cream. garnish with ginger snap crumbles.
happiness,"1.5 oz jasmine tea/rice-infused junipero gin*, .75 oz leopold bros. sour apple liqueur, .75 oz lime, .5 oz house-made honey syrup**, .25 oz lo-fi gentian amaro",edible flower,"add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. garnish with edible flower.

*jasmine tea/rice-infused junipero gin:
-- 1 bottle (750ml) junípero gin
-- .5 cup jasmine tea
-- .5 cup jasmine rice (wash rice to eliminate starch)

sous vide version: wash the jasmine rice to clean out the starch. fill container with hot water. set sous vide at 52c. add vacuum seal bag with jasmine tea/rice in bath. let sit in bath for 45 minutes. take the bag out of bath and sit it in ice bath for 15 minutes. open bag and fine strain back into bottle.

infusion version: wash the jasmine rice to clean out the starch. in a cambro/mason jar, add junípero gin and jasmine tea and rice. let infuse for 24 hours. fine strain into bottle.

**house-made honey syrup:

put equal parts of honey (10 oz) and water (10 oz) in a saucepan. boil, then turn down to a simmer and stir until the honey is completely dissolved."
fourth generation,"1.5 oz mezcal, .25 oz luxardo espresso italian liqueur, .75 oz luxardo bitter bianco, 2 dash salted chocolate bitters",ghost orange twist,add all ingredients in a mixing glass and stir with ice. strain into a nick & nora coupe. garnish with a ghost orange twist.
west coast punch,"1.5 oz junipero gin, .75 oz pineapple juice, .5 oz monin strawberry puree, 6-7  mint leaves, .5 oz lemon sour, 1 oz lemon lime soda","lime pinwheel, bing cherry",add all ingredients in a mixing glass with fresh ice. shake vigorously and strain into a nick & nora glass. garnish with lime pinwheel and bing cherry.
mille miglia,".75 oz luxardo maraschino liqueur, .5 oz luxardo sangue morlacco cherry liqueur, 1  basil leaf, .25 oz lime juice, 5 dash rose water","lime floral, bing cherry","add all ingredients in a mixing glass with fresh ice. shake vigorously and strain into a nick & nora glass. garnish with lime pinwheel and bing cherry.
"
paradiso sun,"1.5 oz junipero gin, 1 oz lime sour, .5 oz orange juice, .25 oz dry curacao","orange wedge, juniper berries",add all ingredients in a mixing glass with fresh ice. shake vigorously and strain into a nick & nora glass. garnish with orange slice and 1 bar spoon juniper berries.
lux orchard lemonade,".75 oz luxardo maraschino liqueur, .5 oz junipero gin, .75 oz monin apple puree, .25 oz lemon juice, 1 dash fennel bitters",luxardo cherry,add all ingredients in a mixing glass with fresh ice. shake vigorously and strain over fresh ice. garnish with luxardo cherry.
cut & rum,".75 oz banks 5 rum, .75 oz denizen aged white rum , .75 oz denizen aged white rum , .75 oz luxardo amaro abano",orange peel,"add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. garnish with orange peel and clothes pin."
the king's spring daisy,"1 oz king's ginger liqueur, 1 oz h by hine, .25 oz lemon juice, .25 oz simple syrup, 2 dash fee brothers rhubard bitters",mint sprig,add all ingredients into a cocktail shaker. shake and double strain into a glass. garnish with a sprig of mint.
the king's ginger spiced punch,"25 oz king's ginger liqueur, 37.5 oz cranberry juice, 37.5 oz fever-tree lemonade","lemon wheel, strawberry",add all ingredients into a punch bowl or pitcher and stir. add lemon wheels and strawberries to garnish.
war of the roses,".75 c junipero gin, .75 c c. drouin calvados selection, .5 c lemon juice, .5 c ginger-vanilla syrup, 4 dash angostura bitters, 1 bottle sparkling rose","cinnamon sticks, lemon wheels, apple slices",add all ingredients into a punch bowl. serve in small rocks glasses.
the king's medicine,"1.5 oz king's ginger liqueur, .5 oz luxardo fernet, .25 oz benriach curiositas single malt 10 yo, .75 oz lemon juice",lemon twist,"add all ingredients into a shaker with ice, shake furiously. fine strain into chilled coupe. garnish with a lemon twist."
a.nise,"1.5 oz pink pigeon rum, .5 oz luxardo amaretto di saschira, .5 oz osha falernum, .5 oz lemon juice, 1 oz pineapple juice, 3 dash orange bitters","star anise, lemongrass slices",add all ingredients into a shaker with ice. shake. strain over fresh ice into a rocks glass. garnish with star anise and two slices lemongrass.
down the rabbit hole," oz junipero gin,  oz lemon,  oz elder flower liquor,  oz honey syrup,  oz carrot juice",mint leaves,"add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves."
peace daiquiri,"1.5 oz pink pigeon rum, .5 oz luxardo maraschino liqueur, .75 oz fresh lime juice, .5 oz simple syrup, .5 oz fresh grapefruit juice",luxardo cherry,"add all ingredients into shaking tin. add ice cubes to tin. shake vigorously and strain into coupe. garnish with luxardo maraschino cherry.
"
the king's autumn cobbler,"1 oz king's ginger liqueur, .25 oz briottet creme de mure (blackberry),  top pear cider","3 lemon wedges, 3 blackberries",add all ingredients over ice. stir with a barspoon. squeeze lemon wedges and add blackberries.
the mad king,"2 oz glenrothes vintage reserve, 1 oz king's ginger liqueur, .25 oz honey syrup, 1 dash angostura bitters",flamed lemon peel,"add all ingredients to a mixing glass and stir for 15-20 seconds. strain into a highball filled with fresh ice.
"
the robert baratheon,"2 oz single malt scotch, .25 oz dry vermouth, .25 oz luxardo maraschino liqueur, 2 dash angostura bitters",luxardo cherry,add all ingredients to a mixing glass filled with ice. stir until cold and strain into a chilled coupe.
lux shandy,"1 oz luxardo aperitivo, .5 oz lemon juice, .5 oz orange juice, .5 oz simple syrup,  top anchor california lager",half orange wheel,add all ingredients to a mixing glass. add ice and integration shake. pour over fresh ice into a highball and top with california lager. garnish with a half orange wheel.
fiona graham,"1.5 oz luxardo bitter bianco, 1 oz junmai sake, .25 oz coconut rum, 1 dash orange bitters, 1 dash coconut vinegar",expressed orange swath,add all ingredients to a mixing glass. stir until thoroughly chilled (~30 seconds). strain into a chilled cocktail glass. serve with one big rock. garnish with an expressed orange swath.
le sang et sable,"1.5 oz h by hine, .5 oz dubonnet rouge, .5 oz cherry herring, .375 oz blood orange juice, .375 oz lemon juice","cherry, lemon twist",add all ingredients to a shaker and fill with ice. shake vigorously and strain into chilled stemmed cordial glass. garnish with cocktail cherry and lemon twist.
martinez,"1.5 oz old tom gin, 1.5 oz tempus fugit alessio vermouth di torino rosso, .25 oz luxardo maraschino liqueur, 2 dash tempus fugit abbott's bitters",orange twist,"add all ingredients to a shaker and fill with ice. shake, and strain into a chilled coupe glass."
amaretto sour bv-style,"1.5 oz luxardo amaretto di saschira, .5 oz bourbon, .5 oz fresh lime juice, .75 oz pineapple juice, .75 oz fresh egg white, 2 dash angostura bitters","cherry, freshly grated cinnamon",add all ingredients to a shaker and shake well without ice to emulsify the egg white. add ice and shake hard until the drink is chilled. strain through a fine-mesh strainer into a chilled coupe and garnish.
julia's child,"1 oz broker's gin, 1 oz karlsson's gold vodka, 2 oz celery root puree, .5 oz fresh lemon juice, .75 oz simple syrup, 3 dash apple bitters, 1 dash angostura bitters",celery leaf,"add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. garnish with a celery leaf."
the bitter king,"2 oz king's ginger liqueur, .75 oz lemon juice, .75 oz simple syrup",luxardo cherry,"add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a luxardo cherry."
la maracuja,"2 oz ypioca brasilizar cachaca prata reserva especial, 1.5 oz fresh passion fruit, 1 oz condense milk, .25 oz brown sugar syrup (2:1)","mint sprig, fresh grated nutmeg",add all ingredients to blender and blend throughly. double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.
san francisco strong (skrong),".75 oz junipero gin, .75 oz tempus fugit kina l'aero d'or, .75 oz luxardo bitter bianco, .75 oz lemon juice, .75 oz egg whites, .5 oz rich simple syrup*",matcha powder,"add all ingredients to tin and dry shake. add ice and vigorously shake for 12 seconds. fine strain into chilled cocktail glass. garnish by sprinkling matcha powder (.25 tsp).

*rich simple syrup:
-- 2 cups granulated sugar
-- 1 cup water

combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. remove from heat, let cool to room temperature and transfer to a clean glass jar. cover and keep refrigerated for up to 2 weeks."
nuestra julep,"1 oz high west oat whisky, .5 oz king's ginger liqueur, .5 oz peach shrub, .75 oz lime, 1 dash angostura bitters, 1 dash grapefruit bitters",basil leaf,add all ingredients together.
pisco punch,"2 oz barsol selecto italia pisco, 2 oz pineapple juice, 1 oz fresh lime juice, 1 oz simple syrup","luxardo cherry, pineapple chunks",add all liquid ingredients into a cocktail shaker with ice. shake well and strain into an ice filled white wine glass. garnish by adding pineapple chunks and luxardo cherry.
la batida loca,"2 oz ypioca brasilizar cachaca prata reserva especial, 1.5 oz sweetened condensed milk, 1 oz passion fruit (fresh or puree), .5 oz pilon syrup*",passion fruit seeds,"add all of the ingredients, except seeds, to a shaker with ice and shake well. double strain onto fresh ice into a collins glass. garnish with 1 spoon of passion fruit seeds.

*pilon syrup:
homemade 50/50 simple syrup using pilon sugar made from mexican sugar cane."
neighborhood negroni,"1 oz junipero gin, 1 oz campari, 1 oz tempus fugit alessio vermouth di torino rosso",flamed orange twist,add all the ingredients to a mixing glass and fill with ice. stir until well chilled and strain into a chilled cocktail glass. garnish with a flamed orange twist.
rothes roy,"2 oz glenrothes vintage reserve, .75 oz tempus fugit alessio vermouth di torino rosso, 3 dash angostura bitters",luxardo cherry,"add all the ingredients to a mixing glass and fill with ice. stir, and strain into a chilled cocktail glass. garnish with a luxardo cherry."
angel's face,"1 oz no.3 london dry gin, 1 oz applejack, 1 oz luxardo apricot liqueur",orange peel slice,"add all the ingredients to a mixing glass and fill with ice. stir, and strain into a cocktail glass. garnish with a slice of orange peel."
kiss,"2 oz gin, .75 oz sweet vermouth, .75 oz dubonnet rouge, .25 oz luxardo maraschino liqueur",apple slice,"add all the ingredients to a mixing glass and fill with ice. stir, and strain into a martini glass. garnish with an apple slice."
the cappa,"1.5 oz gin, 1.5 oz pineau des charentes, .5 oz luxardo maraschino liqueur",lemon peel twist,"add all the ingredients to a mixing glass and fill with ice. stir, and strain into a small wine or cocktail glass. twist a slice of lemon peel over the drink and use as garnish."
the inside job,"2 oz bourbon, .25 oz luxardo maraschino liqueur, .5 oz simple syrup, 1 dash angostura bitters, 1 dash vieux pontarlier absinthe francaise superieure","luxardo cherry, orange twist","add all the ingredients to a mixing glass and fill with ice. stir, and strain into an old fashioned glass filled with fresh ice. garnish with a luxardo cherry and an orange slice or twist."
the sun also rises,"2 oz banks 5 island rum, .75 oz fresh lime juice, .5 oz fresh grapefruit juice, .5 oz luxardo maraschino liqueur, 1 tsp vieux pontarlier absinthe francaise superieure",,"add all the ingredients to a shaker and fill with ice. shake, and strain into a chilled coupe glass filled with crushed ice."
trato hecho,".75 oz pineapple-infused mezcal*, .75 oz green chartreuse, .75 oz luxardo maraschino liqueur, .75 oz lime juice",,"add all the ingredients to a shaker and fill with ice. shake, and strain into a coupe glass.

*pineapple-infused mezcal:
peel, core and chop a whole pineapple into 1-inch cubes. add to a large jar or other container with a lid, and add a 750-ml bottle of mezcal. let stand for 5 days and strain before using."
nick & janae,"1.5 oz h by hine, .5 oz luxardo amaro abano, .75 oz fresh lemon juice, .75 oz strawberry syrup*, .5 oz egg white",black pepper,"add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. dry shake without ice approx. 5 seconds to emulsify. add ice and shake hard again approx. 10 seconds. fine strain into coupe. crack drag black pepper over surface. serve and enjoy.

*strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. bottle and refrigerate."
on the wings of eagles,"1.5 oz h by hine, .75 oz rye whiskey, .75 oz green chartreuse, 2 dash lemon bitters, 1 splash fernet-branca",mint sprig,"add cognac, rye, chartreuse and bitters to a mixing glass with ice, and stir until cold. add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig."
mule pigeon,"40 ml pink pigeon rum, 2 dash angostura bitters,  top ginger beer",basil sprig,"add cubed ice to a highball, add 2 dashes of angostura bitters, top with ginger beer, garnish with a sprig of basil."
cuba liberation,"2 oz pink pigeon rum, 1.5 oz fresh lime juice, .25 oz simple syrup,  oz mexican coca cola, 1 float luxardo fernet","lime wheel, mint sprig",add first three ingredients to a mixing glass with shaker and lightly shake with ice. pour mixture into a collins or highball glass over ice. top with mexican coke (or any coca cola as a substitute) and pour luxardo fernet on top to float. garnish with a lime wheel and fresh mint sprig.
off the radar,"1.5 oz junipero gin, .5 oz lemon juice, .25 oz luxardo maraschino liqueur, .25 oz liqueur de violette, 3-4 oz tonic water",lemon wheel,"add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. add tonic water; stir to combine. garnish with a lemon wheel."
maraschino side car,".75 oz luxardo maraschino liqueur, .25 oz dry curacao, .5 oz bourbon rye, .25 oz lemon juice","lemon peel, abbott's aromatic bitters","add ingredients in a mixing glass with fresh ice. shake vigorously strain over fresh ice. garnish with lemon peel to fit in glass and 1 dash of abbott's aromatic bitters. optional sugar rim.
"
the royal buck,"1 oz no.3 london dry gin, 1 oz king's ginger liqueur, .75 oz lemon juice, .5 oz simple syrup, 2 oz club soda","lemon wedge, candied ginger","add ingredients to a mixing glass except club soda. shake over ice, strain over ice into a collins glass, top with club soda. garnish with a lemon wedge and candied ginger on a pick."
rx hot toddy,"1.5 oz old potrero straight rye whiskey, .5 oz lemon juice, 2 oz cold-pressed apple cider, 2 oz hot water, .5 oz honey-ginger syrup*, 1 tsp ghost-pepper-infused campari**, 3 dash cinnamon tincture***",,"add ingredients to a mug and stir.

*honey-ginger syrup:
combine 1 part ginger with 2 parts honey and 1 cup of water and boil. reduce heat and simmer for 5 mins. strain and discard solids.

**ghost-pepper-infused campari:
soak 1 ghost pepper in a 16 oz. bottle of campari for up to 24 hrs (reduce infusion time to reduce heat).

***cinnamon tincture:
soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. strain and discard the sticks."
spanish g&t,"1.5 oz junipero gin, 2 oz east imperial superior tonic ,   assorted complementing botanicals*",assorted complementing botanicals,"add junipero gin and botanicals first. add ice and follow with a bold tonic. top with additional botanicals/garnish for presentation.

*assorted complementing botanicals: orange, star anise, rose petals, italian juniper"
chilcano,"2 oz barsol selecto acholado pisco, .5 oz fresh lime juice, 2-3 drops angostura bitters,  top ginger ale",lime wheel,add pisco and lime juice into a highball glass filled with ice. pour ginger ale into the glass to top. add 2-3 drops of bitters. garnish with lime wheel.
kir royale,"1 part briottet creme de cassis, 4 part chilled dry champagne",,"add room temperature creme de cassis to the glass first, followed by the champagne."
kir,"1 part briottet creme de cassis, 4 part chilled dry white wine",,"add room temperature creme de cassis to the glass first, followed by the wine."
citrus agave caipirinha,"1.5 oz ypioca brasilizar cachaca prata classica, 1.5 oz citrus agave blend, 1 splash soda water",lime wheel,"add soda to bucket first, then add spirits and mixers. top with ice and garnish."
